 Sort name ;5;10;15;20;25;30;35;40;45;
 insertion sort ;29;109;239;419;649;929;1259;1639;2069;
 selection sort ;29;109;239;419;649;929;1259;1639;2069;
 bubble sort ;29;109;239;419;649;929;1259;1639;2069;
 bubble sort 1;32;117;252;437;672;957;1292;1677;2112;
 bubble sort 2;34;119;254;439;674;959;1294;1679;2114;
 shell sort ;31;91;153;249;303;404;577;643;716;
 Hoar sort ;53;128;233;358;513;688;893;1118;1415;
 heap sort ;38;103;181;280;365;478;582;687;810;
